Date,ICE US Treasury 3-7 Year Bond
12/2004,10000
01/2005,10447.214491286657
02/2005,10188.001493093787
03/2005,10383.704704371761
04/2005,10533.248600935089
05/2005,11159.867279488742
06/2005,11418.228953229469
07/2005,11281.352787120639
08/2005,11334.262825636071
09/2005,11364.412532431947
10/2005,11319.02290940232
11/2005,11619.372251560664
12/2005,11663.44396152459
01/2006,11338.25088040319
02/2006,11554.362266600434
03/2006,11292.490316610923
04/2006,10909.19299274058
05/2006,10627.506878228976
06/2006,10772.33728830666
07/2006,10851.523861092268
08/2006,10913.577207905759
09/2006,11166.501598009718
10/2006,11185.736294482722
11/2006,10854.270367318357
12/2006,10809.23961443586
01/2007,10981.10570779256
02/2007,10937.148503761266
03/2007,10875.967165292532
04/2007,10699.087575155601
05/2007,10718.367881589731
06/2007,10689.527284594107
07/2007,10708.138000631201
08/2007,10902.313212563922
09/2007,10602.464145038253
10/2007,10475.013026131504
11/2007,10594.641193166093
12/2007,10653.904171376731
01/2008,10862.919626240051
02/2008,10821.043870140502
03/2008,10452.658722043572
04/2008,10408.06205047939
05/2008,10297.854627131639
06/2008,10199.70960058548
07/2008,10366.665983137347
08/2008,11104.478396778517
09/2008,11540.675716883994
10/2008,13115.388862851598
11/2008,13696.795413208223
12/2008,12770.991098092149
01/2009,13660.114352281242
02/2009,13767.673383702439
03/2009,13317.750893151246
04/2009,13171.524643023975
05/2009,12289.68258588907
06/2009,12178.007129659141
07/2009,12235.788788617629
08/2009,12236.724525637439
09/2009,12007.182966199582
10/2009,11912.086379902024
11/2009,11943.92073299243
12/2009,12128.986369836075
01/2010,12734.389213800834
02/2010,13179.990694489808
03/2010,13152.150077686112
04/2010,13441.967955905875
05/2010,14775.818056701373
06/2010,15076.96984361356
07/2010,14362.94209752462
08/2010,14971.505092699352
09/2010,13974.50540648035
10/2010,13845.283976654506
11/2010,14631.21499233772
12/2010,13944.189882971623
01/2011,13680.787767159283
02/2011,13479.705362648214
03/2011,13111.624620903647
04/2011,12712.710374180691
05/2011,13343.821381097192
06/2011,13272.582449510099
07/2011,13710.583195606392
08/2011,13794.525583738261
09/2011,14784.193744310647
10/2011,14244.937445373018
11/2011,14927.73121470782
12/2011,15575.481128577409
01/2012,15404.650320934787
02/2012,15010.521921299294
03/2012,15017.079518505878
04/2012,15360.302405069888
05/2012,16492.245310344973
06/2012,16214.213722310598
07/2012,16742.658418425643
08/2012,16326.531373196753
09/2012,15922.585616888937
10/2012,15802.996341793227
11/2012,15894.30292607722
12/2012,15602.509334018956
01/2013,15114.619692486847
02/2013,15691.425707629442
03/2013,16111.66189267268
04/2013,15868.812882829232
05/2013,15723.450984201767
06/2013,15453.18727364184
07/2013,15255.621786953458
08/2013,15203.645928335338
09/2013,15060.548626528886
10/2013,14991.713386754329
11/2013,15023.415746930757
12/2013,14650.014255467975
01/2014,15123.64115526327
02/2014,14833.965471939031
03/2014,14758.586426456635
04/2014,14767.001566364239
05/2014,15173.343657392363
06/2014,15087.58284896062
07/2014,15333.594444477569
08/2014,15684.85215624329
09/2014,16357.63332932607
10/2014,16594.719596232728
11/2014,16773.769345907036
12/2014,17178.834804486745
01/2015,18863.122200754475
02/2015,18742.638964415837
03/2015,19733.663227443612
04/2015,18902.987740211636
05/2015,19340.90714149702
06/2015,18865.831088101786
07/2015,19356.4148261004
08/2015,18944.636197435702
09/2015,19156.345423555344
10/2015,19389.670825141664
11/2015,20110.371069999466
12/2015,19492.607185943674
01/2016,19842.46942133335
02/2016,20016.133399557028
03/2016,19189.546895294003
04/2016,19144.590474747758
05/2016,19533.90003036288
06/2016,19971.319956032086
07/2016,19958.789167761945
08/2016,19806.10995144934
09/2016,19805.909000487984
10/2016,20077.969225230212
11/2016,20229.12491208418
12/2016,20404.083589423986
01/2017,20050.00329614992
02/2017,20414.231353887437
03/2017,20247.245884036874
04/2017,19941.063218275216
05/2017,19518.2752581549
06/2017,19126.38670777588
07/2017,18686.50045877508
08/2017,18667.59741271903
09/2017,18559.212593448345
10/2017,18794.775104712702
11/2017,18387.983036082172
12/2017,18166.950718780583
01/2018,17276.431288204858
02/2018,17557.72166508178
03/2018,17517.647441563266
04/2018,17733.39843368009
05/2018,18452.41736372463
06/2018,18507.646597576804
07/2018,18334.08214538128
08/2018,18599.801998349016
09/2018,18592.91672412465
10/2018,19025.39632277087
11/2018,19112.668602306196
12/2018,19308.50650798209
01/2019,19339.90228959156
02/2019,19433.547678419007
03/2019,20038.499523974704
04/2019,20070.322943926472
05/2019,20547.880779095492
06/2019,20331.487664695967
07/2019,20694.15396418516
08/2019,21360.784074042633
09/2019,21524.090630591934
10/2019,21072.570778009947
11/2019,21332.772334889887
12/2019,20838.426293188535
01/2020,21553.040153537237
02/2020,22119.41612041492
03/2020,22727.08385387035
04/2020,22940.71506375225
05/2020,22463.85407739471
06/2020,22371.259623332047
07/2020,21221.49397405205
08/2020,21019.854041340797
09/2020,21449.913103552346
10/2020,21371.974032124548
11/2020,20902.232284387028
12/2020,20426.107006705297